model,age_group,metric,estimate,ci_low,ci_high,n,bootstrap_reps
Qwen,15-24,individual_brier,-0.0011914946449978203,-0.013566255888835461,0.011245151687714977,238,10000
Qwen,15-24,probability_prevalence_mae,0.04691104200618343,0.03225744716967556,0.057398682721481374,238,10000
Qwen,15-24,hard_prevalence_mae,0.058638603069898015,0.037900522265105416,0.08137301894198719,238,10000
Qwen,15-24,hard_accuracy,-0.03932802996512308,-0.060464095998424124,-0.018297008758082503,238,10000
Qwen,25-34,individual_brier,-0.005748525549320899,-0.01692332445708035,0.005622626198207626,223,10000
Qwen,25-34,probability_prevalence_mae,0.03705080681438888,0.026017802018810397,0.04801688445514905,223,10000
Qwen,25-34,hard_prevalence_mae,0.054531411691950776,0.03733264569431457,0.07244811924265789,223,10000
Qwen,25-34,hard_accuracy,-0.027667750828612614,-0.047068381840122395,-0.008259521408706524,223,10000
Qwen,35-44,individual_brier,-0.026081201016050853,-0.038375492939068875,-0.013751832811450742,190,10000
Qwen,35-44,probability_prevalence_mae,-0.0042370842113693685,-0.016814121121817342,0.006587589516339209,190,10000
Qwen,35-44,hard_prevalence_mae,0.012302334611992038,-0.004393719054997511,0.02983859213906346,190,10000
Qwen,35-44,hard_accuracy,-0.0017681112747111039,-0.01845565344099318,0.014929687594732934,190,10000
Qwen,45-59,individual_brier,-0.021591213165048223,-0.03338039117554795,-0.009259030365849328,209,10000
Qwen,45-59,probability_prevalence_mae,-0.023350436157626206,-0.032270839965393275,0.0005321008594888944,209,10000
Qwen,45-59,hard_prevalence_mae,0.012027145185744409,-0.003148236065906056,0.02804625094403542,209,10000
Qwen,45-59,hard_accuracy,-0.0072194987243211495,-0.02405006562839471,0.009582543355670308,209,10000
Qwen,60+,individual_brier,-0.015399580467219093,-0.03057614136625076,-0.0006995202943853079,140,10000
Qwen,60+,probability_prevalence_mae,-0.018510251080086977,-0.031084871873212187,-0.0009315523386983797,140,10000
Qwen,60+,hard_prevalence_mae,0.021415769822989053,-0.002425577761946692,0.045233913898633196,140,10000
Qwen,60+,hard_accuracy,-0.002366733492473183,-0.028545291799831514,0.02384401385073355,140,10000
DeepSeek,15-24,individual_brier,0.021891436297643396,-0.0036373544159482114,0.04834383841351398,238,10000
DeepSeek,15-24,probability_prevalence_mae,0.01701306407816959,-0.008909760602238562,0.04660958009014627,238,10000
DeepSeek,15-24,hard_prevalence_mae,-0.03416563627606482,-0.07842338297461411,0.009237343134631313,238,10000
DeepSeek,15-24,hard_accuracy,-0.027455171113204502,-0.05973500117940767,0.004088457014245181,238,10000
DeepSeek,25-34,individual_brier,0.02361744694854198,0.0002397772763535568,0.04664366735598141,223,10000
DeepSeek,25-34,probability_prevalence_mae,0.03203329838177782,-0.00812592570913085,0.05892432129528539,223,10000
DeepSeek,25-34,hard_prevalence_mae,-0.05752534430617988,-0.1062310083252503,-0.0015436556294143875,223,10000
DeepSeek,25-34,hard_accuracy,-0.023118614285189132,-0.05373962442531784,0.0075480021186304395,223,10000
DeepSeek,35-44,individual_brier,0.00391710996432118,-0.022852445588189347,0.030881153529458992,190,10000
DeepSeek,35-44,probability_prevalence_mae,-0.053528792753174056,-0.09260828230731735,-0.0087479005540224,190,10000
DeepSeek,35-44,hard_prevalence_mae,-0.14739418197732443,-0.1649769567508966,-0.09743596685965622,190,10000
DeepSeek,35-44,hard_accuracy,0.012334663529633416,-0.021955223469156914,0.04659808453933718,190,10000
DeepSeek,45-59,individual_brier,-0.06231890756392092,-0.09284930910462422,-0.03197674277053279,209,10000
DeepSeek,45-59,probability_prevalence_mae,-0.1734881291570685,-0.1985436984419242,-0.13554465001461216,209,10000
DeepSeek,45-59,hard_prevalence_mae,-0.22480674863843403,-0.2598066572807136,-0.18784455197608318,209,10000
DeepSeek,45-59,hard_accuracy,0.1179291576120911,0.07816981056058175,0.15775121338725853,209,10000
DeepSeek,60+,individual_brier,-0.11592976510042977,-0.15421946321583774,-0.07788472405727204,140,10000
DeepSeek,60+,probability_prevalence_mae,-0.2690039591377467,-0.29564254675362855,-0.21594691230757485,140,10000
DeepSeek,60+,hard_prevalence_mae,-0.30833839533831303,-0.34882424061312334,-0.2523286122732316,140,10000
DeepSeek,60+,hard_accuracy,0.2035611607859864,0.1511480831061717,0.25594046319816993,140,10000
