cell,method_class,model,condition,intervention,n,individual_brier,log_loss,hard_accuracy,probability_prevalence_mae,hard_prevalence_mae,mean_abs_p_minus_half,mean_signed_probability_bias,ece10,hard_pattern_entropy_bits,hard_correlation_rmse,entropy_bits,correlation_rmse,joint_tv,joint_js
luna_thin,LLM,Luna,thin,persona,1000,0.1694097921899517,0.51685558783161,0.7707885644599785,0.1017242729354641,0.1455573079977772,0.2483836456029165,-0.0494874892881238,,,,1.92950709371773,0.258424950964321,0.4795746809545073,0.2957948361283201
luna_rich,LLM,Luna,rich,persona,1000,0.1507508262719817,0.4617517899929219,0.7804580093372131,0.0965593376627255,0.1775286538614795,0.3118646154407347,0.0060121107663994,,,,1.7836034867956032,0.245765581032102,0.5484218202425597,0.3436676034090918
claude_thin,LLM,Claude,thin,persona,250,0.1582159385316293,0.4804820902369884,0.765975824122488,0.0829958882293191,0.1207345319856391,0.2801282469042362,-0.0081219389395516,,,,1.75371537159603,0.2256253933966877,0.3903536507277815,0.2589508297805299
claude_rich,LLM,Claude,rich,persona,250,0.1436501643597321,0.4475179237130615,0.8019515373846549,0.093640386422911,0.0766194935498539,0.2923190081202469,-0.0512746762181126,,,,1.962168742261262,0.2075297093350928,0.362947037776046,0.2261415745020489
qwen_off,LLM,Qwen,off,reasoning,1000,0.1780646052210769,0.5905926463555458,0.7880622766304999,0.1228485387888497,0.1151416563956125,0.3991097618560954,-0.0774764196412285,,,,1.9652762132949493,0.2116413889655903,0.3951938042790923,0.2315711755078864
qwen_low,LLM,Qwen,low,reasoning,1000,0.1670067639966928,0.517104196263148,0.7750395749272335,0.1370543209541027,0.1482164725609459,0.3389805153675982,-0.0946914036269035,,,,1.913939639343456,0.2317653342288039,0.4132932982690354,0.2280846495999623
qwen_medium,LLM,Qwen,medium,reasoning,1000,0.1648843351698248,0.5049768070066611,0.7703425488549269,0.1330740442099386,0.1522181155622136,0.3260633796271845,-0.086543402658331,,,,1.8918552629177643,0.2401392446911976,0.4172254628739936,0.2377076300310096
deepseek_thin_off,LLM,DeepSeek,thin/off,factorial,1000,0.2238939208805248,1.1176105126904807,0.7128154279093257,0.1406508846169431,0.2137387235525083,0.3693624140054674,0.1114471122546274,,,,1.2833967206614203,0.3024614469254693,0.6580117915411882,0.4098363609666424
deepseek_thin_high,LLM,DeepSeek,thin/high,factorial,1000,0.1884999082409894,0.9353087284253658,0.764208373442198,0.0622156994073177,0.0933538884981883,0.3854005930806375,0.0390504623347027,,,,2.1763868676347915,0.1408162455840449,0.2851021479417661,0.0933087605056014
deepseek_rich_off,LLM,DeepSeek,rich/off,factorial,1000,0.2048619173983314,0.834312183163217,0.7331919174366162,0.1274963781170416,0.2027397748541876,0.3683749290684658,0.0719720551536172,,,,1.306769963661237,0.2999219042707836,0.6259557151544354,0.3894243470326476
deepseek_rich_high,LLM,DeepSeek,rich/high,factorial,1000,0.1869024509205755,1.2535795816493365,0.7768744840710734,0.0698705908917207,0.0359998337818732,0.4000835782903559,-0.0449140878802897,,,,2.2979238349986795,0.092140680282966,0.1899921323925946,0.0564577121727435
baseline_gradient_boosting,supervised_crossfit,gradient_boosting,OOF,supervised_reference,1000,0.12241904669671,0.3877934819445484,0.8252851536433213,0.0045703990646769,0.0387667806349101,,,0.0429915511732186,2.7077676905972208,0.0798401701407254,2.7077676905972208,0.0798401701407254,0.16831775506497,0.0477071517364842
baseline_logistic,supervised_crossfit,logistic,OOF,supervised_reference,1000,0.1291655182130654,0.4494377865009025,0.8185826823479312,0.0037816231100624,0.0347337267977551,,,0.051560275551599,2.691689706175684,0.0757931468218503,2.691689706175684,0.0757931468218503,0.1381703379877699,0.0350732720096721
baseline_random_forest,supervised_crossfit,random_forest,OOF,supervised_reference,1000,0.1223819847429751,0.386073149215995,0.8254577988322377,0.000842852427063,0.087233471908175,,,0.0579881886156034,2.082084896049318,0.159771772076268,2.082084896049318,0.159771772076268,0.2422880491923557,0.0804558799641473
baseline_weighted_prevalence,supervised_crossfit,weighted_prevalence,OOF,supervised_reference,1000,0.1856244164827073,0.5513058837328931,0.7109737708202216,6.56088918378946e-08,0.2890262291797782,,,6.56088918378946e-08,-0.0,0.4527984699669663,-0.0,0.4527984699669663,0.8818538194024428,0.7279032308998601
