cell,entropy_bits,distinct_patterns,largest_pattern_share,joint_tv,joint_js,correlation_rmse
human,2.485736899668057,14,0.2871604841007374,0.0,0.0,0.0
luna_thin,1.92950709371773,8,0.5297698181661985,0.4795746809545073,0.29579483612832014,0.25842495096432105
luna_rich,1.7836034867956032,7,0.5845320535925197,0.5484218202425597,0.34366760340909186,0.24576558103210203
claude_thin,1.75371537159603,4,0.5048970252076126,0.39035365072778155,0.2589508297805299,0.22562539339668772
claude_rich,1.962168742261262,6,0.41251386570254317,0.362947037776046,0.2261415745020489,0.20752970933509282
qwen_off,1.9652762132949495,5,0.44175228761053587,0.3951938042790923,0.23157117550788647,0.21164138896559034
qwen_low,1.9139396393434556,7,0.5338922778569551,0.4132932982690354,0.22808464959996239,0.23176533422880397
qwen_medium,1.8918552629177643,8,0.541888866553841,0.41722546287399365,0.23770763003100964,0.24013924469119766
deepseek_thin_off,1.2833967206614205,7,0.6050028021768795,0.6580117915411882,0.4098363609666424,0.3024614469254693
deepseek_thin_high,2.1763868676347915,7,0.3183409953706311,0.2851021479417661,0.09330876050560141,0.14081624558404499
deepseek_rich_off,1.306769963661237,6,0.6670632454115303,0.6259557151544354,0.3894243470326476,0.29992190427078363
deepseek_rich_high,2.2979238349986795,7,0.2908182844146193,0.18999213239259463,0.05645771217274357,0.09214068028296604
