contrast,outcome,metric,effect
luna_rich_minus_thin,mobile_ability,brier,-0.02168219831785423
luna_rich_minus_thin,mobile_ability,log_loss,-0.07896466236357408
luna_rich_minus_thin,mobile_ability,hard_accuracy,0.003986547313436617
luna_rich_minus_thin,mobile_ability,probability_prevalence_abs_error,-0.07284884142770143
luna_rich_minus_thin,mobile_ability,hard_prevalence_abs_error,-0.007979230896265843
luna_rich_minus_thin,mobile_3m,brier,-0.030738054216217392
luna_rich_minus_thin,mobile_3m,log_loss,-0.09584115466255505
luna_rich_minus_thin,mobile_3m,hard_accuracy,0.002998079867161607
luna_rich_minus_thin,mobile_3m,probability_prevalence_abs_error,-0.08546671195328437
luna_rich_minus_thin,mobile_3m,hard_prevalence_abs_error,-0.006973326745399633
luna_rich_minus_thin,computer_ability,brier,-0.008547907899442625
luna_rich_minus_thin,computer_ability,log_loss,-0.025978988122556
luna_rich_minus_thin,computer_ability,hard_accuracy,0.01491078338991314
luna_rich_minus_thin,computer_ability,probability_prevalence_abs_error,0.011211815097604605
luna_rich_minus_thin,computer_ability,hard_prevalence_abs_error,0.047076714547719084
luna_rich_minus_thin,internet_ability,brier,-0.01816479038570276
luna_rich_minus_thin,internet_ability,log_loss,-0.04481370984291766
luna_rich_minus_thin,internet_ability,hard_accuracy,0.01703256904823769
luna_rich_minus_thin,internet_ability,probability_prevalence_abs_error,0.07803492808724144
luna_rich_minus_thin,internet_ability,hard_prevalence_abs_error,0.05087341979368898
luna_rich_minus_thin,internet_3m,brier,-0.021017636670630002
luna_rich_minus_thin,internet_3m,log_loss,-0.05237877987486561
luna_rich_minus_thin,internet_3m,hard_accuracy,-0.0009103345851514399
luna_rich_minus_thin,internet_3m,probability_prevalence_abs_error,0.02932748333416002
luna_rich_minus_thin,internet_3m,hard_prevalence_abs_error,0.10084892620261299
luna_rich_minus_thin,copy_paste,brier,-0.011803208017972855
luna_rich_minus_thin,copy_paste,log_loss,-0.03264549216566004
luna_rich_minus_thin,copy_paste,hard_accuracy,0.019999024229811146
luna_rich_minus_thin,copy_paste,probability_prevalence_abs_error,0.008751715225554096
luna_rich_minus_thin,copy_paste,hard_prevalence_abs_error,0.007981572279859517
claude_rich_minus_thin,mobile_ability,brier,-0.0032767756500403367
claude_rich_minus_thin,mobile_ability,log_loss,-0.00615441786641302
claude_rich_minus_thin,mobile_ability,hard_accuracy,0.01992669047550999
claude_rich_minus_thin,mobile_ability,probability_prevalence_abs_error,0.06773409277318176
claude_rich_minus_thin,mobile_ability,hard_prevalence_abs_error,-0.03606654663506614
claude_rich_minus_thin,mobile_3m,brier,-0.006827389076567117
claude_rich_minus_thin,mobile_3m,log_loss,-0.014168109855671795
claude_rich_minus_thin,mobile_3m,hard_accuracy,0.03194323810430266
claude_rich_minus_thin,mobile_3m,probability_prevalence_abs_error,0.058442427541234965
claude_rich_minus_thin,mobile_3m,hard_prevalence_abs_error,-0.05607983976089903
claude_rich_minus_thin,computer_ability,brier,-0.0318812297469938
claude_rich_minus_thin,computer_ability,log_loss,-0.08367054669232016
claude_rich_minus_thin,computer_ability,hard_accuracy,0.0598437021555962
claude_rich_minus_thin,computer_ability,probability_prevalence_abs_error,-0.024021299447540834
claude_rich_minus_thin,computer_ability,hard_prevalence_abs_error,0.00411380633709052
claude_rich_minus_thin,internet_ability,brier,-0.018236788442484747
claude_rich_minus_thin,internet_ability,log_loss,-0.048059376449942515
claude_rich_minus_thin,internet_ability,hard_accuracy,0.024035724044860207
claude_rich_minus_thin,internet_ability,probability_prevalence_abs_error,-0.047011696085275
claude_rich_minus_thin,internet_ability,hard_prevalence_abs_error,-0.08826935316797913
claude_rich_minus_thin,internet_3m,brier,-0.012876079811765057
claude_rich_minus_thin,internet_3m,log_loss,-0.03181614364754193
claude_rich_minus_thin,internet_3m,hard_accuracy,0.024035724044860207
claude_rich_minus_thin,internet_3m,probability_prevalence_abs_error,-0.0064382416477970494
claude_rich_minus_thin,internet_3m,hard_prevalence_abs_error,-0.08826935316797913
claude_rich_minus_thin,copy_paste,brier,-0.014296382303532168
claude_rich_minus_thin,copy_paste,log_loss,-0.013916404631672319
claude_rich_minus_thin,copy_paste,hard_accuracy,0.056069200747871806
claude_rich_minus_thin,copy_paste,probability_prevalence_abs_error,0.015161706027747829
claude_rich_minus_thin,copy_paste,hard_prevalence_abs_error,-0.00011894421987743153
qwen_low_minus_off,mobile_ability,brier,0.00029620522658521664
qwen_low_minus_off,mobile_ability,log_loss,-0.007280109699988879
qwen_low_minus_off,mobile_ability,hard_accuracy,-0.013988555605909503
qwen_low_minus_off,mobile_ability,probability_prevalence_abs_error,-0.00011482505220372641
qwen_low_minus_off,mobile_ability,hard_prevalence_abs_error,0.017953546149873767
qwen_low_minus_off,mobile_3m,brier,0.0038236361120057294
qwen_low_minus_off,mobile_3m,log_loss,0.002969746117491845
qwen_low_minus_off,mobile_3m,hard_accuracy,-0.015985470974379523
qwen_low_minus_off,mobile_3m,probability_prevalence_abs_error,0.023966829355734465
qwen_low_minus_off,mobile_3m,hard_prevalence_abs_error,0.009962064938208282
qwen_low_minus_off,computer_ability,brier,-0.029859865709722072
qwen_low_minus_off,computer_ability,log_loss,-0.09466804049880001
qwen_low_minus_off,computer_ability,hard_accuracy,0.02598636430097001
qwen_low_minus_off,computer_ability,probability_prevalence_abs_error,0.012994442607837386
qwen_low_minus_off,computer_ability,hard_prevalence_abs_error,-0.0019599937642385823
qwen_low_minus_off,internet_ability,brier,-0.006822264143843487
qwen_low_minus_off,internet_ability,log_loss,-0.07117870806041926
qwen_low_minus_off,internet_ability,hard_accuracy,-0.04206745569892223
