cell,pattern,share
human,000000,0.13079941343325058
human,000001,0.0
human,000010,0.0
human,000011,0.0
human,000100,0.0
human,000101,0.0
human,000110,0.0
human,000111,0.0
human,001000,0.0
human,001001,0.0
human,001010,0.0
human,001011,0.0
human,001100,0.0
human,001101,0.0
human,001110,0.0
human,001111,0.0
human,010000,0.0
human,010001,0.0
human,010010,0.0
human,010011,0.0
human,010100,0.0
human,010101,0.0
human,010110,0.0
human,010111,0.0
human,011000,0.0
human,011001,0.0
human,011010,0.0
human,011011,0.0
human,011100,0.0
human,011101,0.0
human,011110,0.0
human,011111,0.0
human,100000,0.007995465295940264
human,100001,0.0020118083017324315
human,100010,0.0
human,100011,0.0
human,100100,0.0009992210397632793
human,100101,0.0
human,100110,0.000998343708687517
human,100111,0.0
human,101000,0.0
human,101001,0.0
human,101010,0.0
human,101011,0.0
human,101100,0.0
human,101101,0.0
human,101110,0.0
human,101111,0.0009992210397632793
human,110000,0.25590639815314514
human,110001,0.004990761217786051
human,110010,0.0
human,110011,0.0
human,110100,0.015988031932445794
human,110101,0.0
human,110110,0.11814618059755722
human,110111,0.2871604841007374
human,111000,0.0
human,111001,0.0
human,111010,0.0
human,111011,0.0
human,111100,0.0010004464913782609
human,111101,0.0
human,111110,0.0050112950078008605
human,111111,0.16799292968001203
luna_thin,000000,0.026918813395528755
luna_thin,000001,0.0
luna_thin,000010,0.0
luna_thin,000011,0.0
luna_thin,000100,0.0
luna_thin,000101,0.0
luna_thin,000110,0.0
luna_thin,000111,0.0
luna_thin,001000,0.0
luna_thin,001001,0.0
luna_thin,001010,0.0
luna_thin,001011,0.0
luna_thin,001100,0.0
luna_thin,001101,0.0
luna_thin,001110,0.0
luna_thin,001111,0.0
luna_thin,010000,0.0
luna_thin,010001,0.0
luna_thin,010010,0.0
luna_thin,010011,0.0
luna_thin,010100,0.0
luna_thin,010101,0.0
luna_thin,010110,0.0
luna_thin,010111,0.0
luna_thin,011000,0.0
luna_thin,011001,0.0
luna_thin,011010,0.0
luna_thin,011011,0.0
luna_thin,011100,0.0
luna_thin,011101,0.0
