cell,subgroup,level,n,individual_brier,probability_prevalence_mae,hard_prevalence_mae,hard_accuracy
luna_thin,age_group,25-34,223,0.17094675816626545,0.14774127893516809,0.13147817984568985,0.7758692386365348
luna_thin,age_group,45-59,209,0.1656664361927935,0.10196319924286851,0.1787931711709884,0.7384415158823577
luna_thin,age_group,15-24,238,0.1707021175387881,0.1962887387213589,0.13642407475806648,0.7981369523417262
luna_thin,age_group,60+,140,0.15014722421250867,0.09029684500604007,0.14173808368790666,0.7916069931373628
luna_thin,age_group,35-44,190,0.1842726464245865,0.13055818571355995,0.17024559507779982,0.7508756317480146
luna_thin,gender_binary,female,491,0.17720657216536997,0.08740519500711859,0.1596466422204196,0.7548377255450911
luna_thin,gender_binary,male,509,0.16188035680208565,0.12777203197886378,0.13195108440009853,0.7861924634247508
luna_thin,sector,rural,695,0.1768604794901619,0.12049724225977838,0.17729893396469135,0.769045722058921
luna_thin,sector,urban,305,0.15243206727990363,0.1038166754536131,0.16296223802503332,0.7747599428918559
luna_rich,age_group,25-34,223,0.14620771633540924,0.09714583580175103,0.14940241521179273,0.8057193111474459
luna_rich,age_group,45-59,209,0.16986863402406588,0.14256016926904463,0.24019024989148852,0.7327378743245206
luna_rich,age_group,15-24,238,0.14004147444874784,0.14295539702953963,0.13803826453504414,0.8114548024126882
luna_rich,age_group,60+,140,0.1310397345115402,0.10452707177235333,0.17504183932461684,0.7701951862035287
luna_rich,age_group,35-44,190,0.16296870198893829,0.11678721792128194,0.19302749367987584,0.771896798060901
luna_rich,gender_binary,female,491,0.15681673784480432,0.09415414744222382,0.19258131491404173,0.7646909560475481
luna_rich,gender_binary,male,509,0.144892909362684,0.10036285650222528,0.16299213504626964,0.7956844245209002
luna_rich,sector,rural,695,0.15280482759128908,0.0878438053158745,0.1932769620408417,0.7760296975881246
luna_rich,sector,urban,305,0.14607041653809164,0.1210684295157999,0.18212499445456956,0.7905487104581475
claude_thin,age_group,25-34,51,0.1615712558790078,0.07452721874605121,0.14039117306894636,0.761536113608218
claude_thin,age_group,45-59,50,0.14989332877316425,0.1279575778732691,0.14671218048129506,0.7599287764826368
claude_thin,age_group,15-24,54,0.16601165908616625,0.159170826443358,0.15143159683138604,0.7746239984085039
claude_thin,age_group,60+,44,0.13495487107429235,0.07464907971410524,0.06438218933833476,0.8143943906503823
claude_thin,age_group,35-44,51,0.17482689220285044,0.10940969787302944,0.09799070250301989,0.7254968893388554
claude_thin,gender_binary,female,131,0.16762971772706053,0.0800224415718286,0.08545777457188065,0.7619995509794119
claude_thin,gender_binary,male,119,0.14784710482523178,0.09814340535518595,0.15959021616205485,0.7703555014163619
claude_thin,sector,rural,167,0.15496880128684248,0.08250914786387,0.13982407412503356,0.7764562919495095
claude_thin,sector,urban,83,0.16475111176872526,0.08524826690453768,0.14256129516418659,0.7448828835745165
claude_rich,age_group,25-34,51,0.15018891565845313,0.12622431517599225,0.06209391045206349,0.8007268273751574
claude_rich,age_group,45-59,50,0.1404538418853528,0.13659599273353165,0.08671746821719155,0.7933339743678578
claude_rich,age_group,15-24,54,0.14419868221879412,0.1680236137836005,0.1173842315465737,0.8023047930409224
claude_rich,age_group,60+,44,0.11246598058497762,0.07787378372670742,0.09476448243037583,0.8446837008359345
claude_rich,age_group,35-44,51,0.16650654915343685,0.13681747573610237,0.06859845162282112,0.7744372116542557
claude_rich,gender_binary,female,131,0.15120213301067686,0.11957544810245345,0.08385345597800964,0.7989045946814604
claude_rich,gender_binary,male,119,0.13533202714066742,0.09858287201851434,0.12748072734448626,0.8053076010384189
claude_rich,sector,rural,167,0.1500499710941962,0.1097505842855747,0.0798921522711618,0.792344790354908
claude_rich,sector,urban,83,0.13076994324779695,0.08026006702132472,0.09834942103433374,0.8212860315410525
qwen_off,age_group,25-34,223,0.1860905254810745,0.1518737928293661,0.11504555919844572,0.7833239699818219
qwen_off,age_group,45-59,209,0.17282651695333115,0.08838669847331242,0.11219370208994713,0.7870125836018266
qwen_off,age_group,15-24,238,0.18030366916137988,0.16695824823819905,0.10410452967579581,0.7896458094282589
qwen_off,age_group,60+,140,0.1346489601025182,0.06764092155911866,0.09764521562538679,0.830888154280559
qwen_off,age_group,35-44,190,0.2034798229231849,0.1703806652866721,0.16144300805902911,0.7613337890008279
qwen_off,gender_binary,female,491,0.18203921427751035,0.11199735129006937,0.11741469270327472,0.7798977309944625
qwen_off,gender_binary,male,509,0.17422628194187745,0.13332764880750939,0.11294656046283284,0.7959468673245611
qwen_off,sector,rural,695,0.18979053115846697,0.14472015632696403,0.16168839107801256,0.7792811853276895
qwen_off,sector,urban,305,0.15134498368025714,0.08897508764513556,0.12954032441856764,0.808071565242696
qwen_low,age_group,25-34,223,0.17984001046799583,0.19124161262315045,0.159123771975632,0.7691152760943128
qwen_low,age_group,45-59,209,0.15112296595296076,0.06593179960237622,0.12187777776575942,0.783825136992899
qwen_low,age_group,15-24,238,0.18116601055052906,0.21447490424843382,0.16066333695156929,0.7580171151987115
